stage,model,model__bootstrap,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,roc_auc
CV,RandomForest,True,5.0,sqrt,1,2,500,0.8618,0.5707356702086888,0.30095602888639783,0.19813110949721602,0.9433402309201615,0.23858262673475297,0.6815207265049861
CV,RandomForest,True,5.0,sqrt,3,2,500,0.8612,0.5704788309861665,0.2983980334027744,0.19831359094437903,0.942644071027954,0.23797206546986746,0.6814396923803565
CV,RandomForest,True,5.0,sqrt,5,2,500,0.8613799999999999,0.5705002118082176,0.29882312712019754,0.19813177731586987,0.9428686463005654,0.23804562542482194,0.6813508800274998
CV,RandomForest,True,5.0,log2,1,2,500,0.8626199999999999,0.5690322783057437,0.30112664351092205,0.19319726528261252,0.9448672913288746,0.23520848863186986,0.6754885326947517
CV,RandomForest,True,5.0,log2,3,2,500,0.86256,0.5693193128430322,0.30118660474819886,0.19392852670857227,0.9447100989774919,0.23576891876412326,0.6754702187923407
CV,RandomForest,True,5.0,log2,5,2,500,0.86182,0.5684230397812697,0.29759592787848776,0.19283213543362301,0.9440139441289161,0.23386565935515818,0.6754455013478927
CV,RandomForest,True,5.0,0.3,1,2,500,0.8896599999999999,0.5329107404003247,0.4765600299521262,0.0762191446912591,0.9896023361093903,0.1311513655669952,0.6602867620339484
CV,RandomForest,True,5.0,0.3,3,2,500,0.88956,0.533175313123265,0.4745926704704635,0.07695040611721887,0.9894002201293111,0.13215837606825623,0.6604931366392928
CV,RandomForest,True,5.0,0.3,5,2,500,0.88968,0.5331625838371352,0.4763877718252056,0.07676775771539238,0.989557409958878,0.13199595737957615,0.6607138391038816
CV,RandomForest,True,5.0,0.5,1,2,500,0.89236,0.5262495669709943,0.5861378747875003,0.057574482649236605,0.9949246512927521,0.1047424702903296,0.6498262121385403
CV,RandomForest,True,5.0,0.5,3,2,500,0.8923400000000001,0.5262383385856362,0.5849095312097958,0.057574482649236605,0.9949021945220359,0.10473181104273503,0.6498459175639126
CV,RandomForest,True,5.0,0.5,5,2,500,0.89232,0.5263072047549251,0.583822826636389,0.05775713105106308,0.9948572784587872,0.10500336849136953,0.649468254720966
